,0
0,49942
1,49942
2,49942
3,49942
4,49942
5,49942
6,49942
7,49942
8,49942
9,49942
10,49942
11,50122
12,50122
13,50122
14,50122
15,50122
16,50122
17,50122
18,50122
19,50122
20,50122
21,50122
22,50122
23,50122
24,50122
25,50122
26,50122
27,50122
28,50122
29,50122
30,50122
31,50122
32,50122
33,50122
34,50122
35,50301
36,50301
37,50301
38,50301
39,50301
40,50301
41,50301
42,50301
43,50301
44,50301
45,50301
46,50301
47,50301
48,50301
49,50301
50,50301
51,50301
52,50301
53,50301
54,50301
55,50301
56,50301
57,50301
58,50301
59,50479
60,50479
61,50479
62,50479
63,50479
64,50479
65,50479
66,50479
67,50479
68,50479
69,50479
70,50479
71,50479
72,50479
73,50479
74,50479
75,50479
76,50479
77,50479
78,50479
79,50479
80,50479
81,50479
82,50479
83,50655
84,50655
85,50655
86,50655
87,50655
88,50655
89,50655
90,50655
91,50655
92,50655
93,50655
94,50655
95,50655
96,50655
97,50655
98,50655
99,50655
100,50655
101,50655
102,50655
103,50655
104,50655
105,50655
106,50655
107,50831
108,50831
109,50831
110,50831
111,50831
112,50831
113,50831
114,50831
115,50831
116,50831
117,50831
118,50831
119,50831
120,50831
121,50831
122,50831
123,50831
124,50831
125,50831
126,50831
127,50831
128,50831
129,50831
130,50831
131,51005
132,51005
133,51005
134,51005
135,51005
136,51005
137,51005
138,51005
139,51005
140,51005
141,51005
142,51005
143,51005
144,51005
145,51005
146,51005
147,51005
148,51005
149,51005
150,51005
151,51005
152,51005
153,51005
154,51005
155,51177
156,51177
157,51177
158,51177
159,51177
160,51177
161,51177
162,51177
163,51177
164,51177
165,51177
166,51177
167,51177
168,51177
169,51177
170,51177
171,51177
172,51177
173,51177
174,51177
175,51177
176,51177
177,51177
178,51177
179,51349
180,51349
181,51349
182,51349
183,51349
184,51349
185,51349
186,51349
187,51349
188,51349
189,51349
190,51349
191,51349
192,51349
193,51349
194,51349
195,51349
196,51349
197,51349
198,51349
199,51349
200,51349
201,51349
202,51349
203,51519
204,51519
205,51519
206,51519
207,51519
208,51519
209,51519
210,51519
211,51519
212,51519
213,51519
214,51519
215,51519
216,51519
217,51519
218,51519
219,51519
220,51519
221,51519
222,51519
223,51519
224,51519
225,51519
226,51519
227,51687
228,51687
229,51687
230,51687
231,51687
232,51687
233,51687
234,51687
235,51687
236,51687
237,51687
238,51687
239,51687
240,51687
241,51687
242,51687
243,51687
244,51687
245,51687
246,51687
247,51687
248,51687
249,51687
250,51687
251,51854
252,51854
253,51854
254,51854
255,51854
256,51854
257,51854
258,51854
259,51854
260,51854
261,51854
262,51854
263,51854
264,51854
265,51854
266,51854
267,51854
268,51854
269,51854
270,51854
271,51854
272,51854
273,51854
274,51854
275,52020
276,52020
277,52020
278,52020
279,52020
280,52020
281,52020
282,52020
283,52020
284,52020
285,52020
286,52020
287,52020
288,52020
289,52020
290,52020
291,52020
292,52020
293,52020
294,52020
295,52020
296,52020
297,52020
298,52020
299,52183
300,52183
301,52183
302,52183
303,52183
304,52183
305,52183
306,52183
307,52183
308,52183
309,52183
310,52183
311,52183
312,52183
313,52183
314,52183
315,52183
316,52183
317,52183
318,52183
319,52183
320,52183
321,52183
322,52183
323,52345
324,52345
325,52345
326,52345
327,52345
328,52345
329,52345
330,52345
331,52345
332,52345
333,52345
334,52345
335,52345
336,52345
337,52345
338,52345
339,52345
340,52345
341,52345
342,52345
343,52345
344,52345
345,52345
346,52345
347,52505
348,52505
349,52505
350,52505
351,52505
352,52505
353,52505
354,52505
355,52505
356,52505
357,52505
358,52505
359,52505
360,52505
361,52505
362,52505
363,52505
364,52505
365,52505
366,52505
367,52505
368,52505
369,52505
370,52505
371,52663
372,52663
373,52663
374,52663
375,52663
376,52663
377,52663
378,52663
379,52663
380,52663
381,52663
382,52663
383,52663
384,52663
385,52663
386,52663
387,52663
388,52663
389,52663
390,52663
391,52663
392,52663
393,52663
394,52663
395,52820
396,52820
397,52820
398,52820
399,52820
400,52820
401,52820
402,52820
403,52820
404,52820
405,52820
406,52820
407,52820
408,52820
409,52820
410,52820
411,52820
412,52820
413,52820
414,52820
415,52820
416,52820
417,52820
418,52820
419,52974
420,52974
421,52974
422,52974
423,52974
424,52974
425,52974
426,52974
427,52974
428,52974
429,52974
430,52974
431,52974
432,52974
433,52974
434,52974
435,52974
436,52974
437,52974
438,52974
439,52974
440,52974
441,52974
442,52974
443,53127
444,53127
445,53127
446,53127
447,53127
448,53127
449,53127
450,53127
451,53127
452,53127
453,53127
454,53127
455,53127
456,53127
457,53127
458,53127
459,53127
460,53127
461,53127
462,53127
463,53127
464,53127
465,53127
466,53127
467,53277
468,53277
469,53277
470,53277
471,53277
472,53277
473,53277
474,53277
475,53277
476,53277
477,53277
478,53277
479,53277
480,53277
481,53277
482,53277
483,53277
484,53277
485,53277
486,53277
487,53277
488,53277
489,53277
490,53277
491,53425
492,53425
493,53425
494,53425
495,53425
496,53425
497,53425
498,53425
499,53425
500,53425
501,53425
502,53425
503,53425
504,53425
505,53425
506,53425
507,53425
508,53425
509,53425
510,53425
511,53425
512,53425
513,53425
514,53425
515,53570
516,53570
517,53570
518,53570
519,53570
520,53570
521,53570
522,53570
523,53570
524,53570
525,53570
526,53570
527,53570
528,53570
529,53570
530,53570
531,53570
532,53570
533,53570
534,53570
535,53570
536,53570
537,53570
538,53570
539,53714
540,53714
541,53714
542,53714
543,53714
544,53714
545,53714
546,53714
547,53714
548,53714
549,53714
550,53714
551,53714
552,53714
553,53714
554,53714
555,53714
556,53714
557,53714
558,53714
559,53714
560,53714
561,53714
562,53714
563,53854
564,53854
565,53854
566,53854
567,53854
568,53854
569,53854
570,53854
571,53854
572,53854
573,53854
574,53854
575,53854
576,53854
577,53854
578,53854
579,53854
580,53854
581,53854
582,53854
583,53854
584,53854
585,53854
586,53854
587,53992
588,53992
589,53992
590,53992
591,53992
592,53992
593,53992
594,53992
595,53992
596,53992
597,53992
598,53992
599,53992
600,53992
601,53992
602,53992
603,53992
604,53992
605,53992
606,53992
607,53992
608,53992
609,53992
610,53992
611,54128
612,54128
613,54128
614,54128
615,54128
616,54128
617,54128
618,54128
619,54128
620,54128
621,54128
622,54128
623,54128
624,54128
625,54128
626,54128
627,54128
628,54128
629,54128
630,54128
631,54128
632,54128
633,54128
634,54128
635,54261
636,54261
637,54261
638,54261
639,54261
640,54261
641,54261
642,54261
643,54261
644,54261
645,54261
646,54261
647,54261
648,54261
649,54261
650,54261
651,54261
652,54261
653,54261
654,54261
655,54261
656,54261
657,54261
658,54261
659,54391
660,54391
661,54391
662,54391
663,54391
664,54391
665,54391
666,54391
667,54391
668,54391
669,54391
670,54391
671,54391
672,54391
673,54391
674,54391
675,54391
676,54391
677,54391
678,54391
679,54391
680,54391
681,54391
682,54391
683,54518
684,54518
685,54518
686,54518
687,54518
688,54518
689,54518
690,54518
691,54518
692,54518
693,54518
694,54518
695,54518
696,54518
697,54518
698,54518
699,54518
700,54518
701,54518
702,54518
703,54518
704,54518
705,54518
706,54518
707,54642
708,54642
709,54642
710,54642
711,54642
712,54642
713,54642
714,54642
715,54642
716,54642
717,54642
718,54642
719,54642
720,54642
721,54642
722,54642
723,54642
724,54642
725,54642
726,54642
727,54642
728,54642
729,54642
730,54642
731,54763
732,54763
733,54763
734,54763
735,54763
736,54763
737,54763
738,54763
739,54763
740,54763
741,54763
742,54763
743,54763
744,54763
745,54763
746,54763
747,54763
748,54763
749,54763
750,54763
751,54763
752,54763
753,54763
754,54763
755,54882
756,54882
757,54882
758,54882
759,54882
760,54882
761,54882
762,54882
763,54882
764,54882
765,54882
766,54882
767,54882
768,54882
769,54882
770,54882
771,54882
772,54882
773,54882
774,54882
775,54882
776,54882
777,54882
778,54882
779,54997
780,54997
781,54997
782,54997
783,54997
784,54997
785,54997
786,54997
787,54997
788,54997
789,54997
790,54997
791,54997
792,54997
793,54997
794,54997
795,54997
796,54997
797,54997
798,54997
799,54997
800,54997
801,54997
802,54997
803,55108
804,55108
805,55108
806,55108
807,55108
808,55108
809,55108
810,55108
811,55108
812,55108
813,55108
814,55108
815,55108
816,55108
817,55108
818,55108
819,55108
820,55108
821,55108
822,55108
823,55108
824,55108
825,55108
826,55108
827,55216
828,55216
829,55216
830,55216
831,55216
832,55216
833,55216
834,55216
835,55216
836,55216
837,55216
838,55216
839,55216
840,55216
841,55216
842,55216
843,55216
844,55216
845,55216
846,55216
847,55216
848,55216
849,55216
850,55216
851,55321
852,55321
853,55321
854,55321
855,55321
856,55321
857,55321
858,55321
859,55321
860,55321
861,55321
862,55321
863,55321
864,55321
865,55321
866,55321
867,55321
868,55321
869,55321
870,55321
871,55321
872,55321
873,55321
874,55321
875,55422
876,55422
877,55422
878,55422
879,55422
880,55422
881,55422
882,55422
883,55422
884,55422
885,55422
886,55422
887,55422
888,55422
889,55422
890,55422
891,55422
892,55422
893,55422
894,55422
895,55422
896,55422
897,55422
898,55422
899,55520
900,55520
901,55520
902,55520
903,55520
904,55520
905,55520
906,55520
907,55520
908,55520
909,55520
910,55520
911,55520
912,55520
913,55520
914,55520
915,55520
916,55520
917,55520
918,55520
919,55520
920,55520
921,55520
922,55520
923,55615
924,55615
925,55615
926,55615
927,55615
928,55615
929,55615
930,55615
931,55615
932,55615
933,55615
934,55615
935,55615
936,55615
937,55615
938,55615
939,55615
940,55615
941,55615
942,55615
943,55615
944,55615
945,55615
946,55615
947,55705
948,55705
949,55705
950,55705
951,55705
952,55705
953,55705
954,55705
955,55705
956,55705
957,55705
958,55705
959,55705
960,55705
961,55705
962,55705
963,55705
964,55705
965,55705
966,55705
967,55705
968,55705
969,55705
970,55705
971,55791
972,55791
973,55791
974,55791
975,55791
976,55791
977,55791
978,55791
979,55791
980,55791
981,55791
982,55791
983,55791
984,55791
985,55791
986,55791
987,55791
988,55791
989,55791
990,55791
991,55791
992,55791
993,55791
994,55791
995,55874
996,55874
997,55874
998,55874
999,55874
1000,55874
1001,55874
1002,55874
1003,55874
1004,55874
1005,55874
1006,55874
1007,55874
1008,55874
1009,55874
1010,55874
1011,55874
1012,55874
1013,55874
1014,55874
1015,55874
1016,55874
1017,55874
1018,55874
1019,55952
1020,55952
1021,55952
1022,55952
1023,55952
1024,55952
1025,55952
1026,55952
1027,55952
1028,55952
1029,55952
1030,55952
1031,55952
1032,55952
1033,55952
1034,55952
1035,55952
1036,55952
1037,55952
1038,55952
1039,55952
1040,55952
1041,55952
1042,55952
1043,56027
1044,56027
1045,56027
1046,56027
1047,56027
1048,56027
1049,56027
1050,56027
1051,56027
1052,56027
1053,56027
1054,56027
1055,56027
1056,56027
1057,56027
1058,56027
1059,56027
1060,56027
1061,56027
1062,56027
1063,56027
1064,56027
1065,56027
1066,56027
1067,56098
1068,56098
1069,56098
1070,56098
1071,56098
1072,56098
1073,56098
1074,56098
1075,56098
1076,56098
1077,56098
1078,56098
1079,56098
1080,56098
1081,56098
1082,56098
1083,56098
1084,56098
1085,56098
1086,56098
1087,56098
1088,56098
1089,56098
1090,56098
1091,56164
1092,56164
1093,56164
1094,56164
1095,56164
1096,56164
1097,56164
1098,56164
1099,56164
1100,56164
1101,56164
1102,56164
1103,56164
1104,56164
1105,56164
1106,56164
1107,56164
1108,56164
1109,56164
1110,56164
1111,56164
1112,56164
1113,56164
1114,56164
1115,56227
1116,56227
1117,56227
1118,56227
1119,56227
1120,56227
1121,56227
1122,56227
1123,56227
1124,56227
1125,56227
1126,56227
1127,56227
1128,56227
1129,56227
1130,56227
1131,56227
1132,56227
1133,56227
1134,56227
1135,56227
1136,56227
1137,56227
1138,56227
1139,56285
1140,56285
1141,56285
1142,56285
1143,56285
1144,56285
1145,56285
1146,56285
1147,56285
1148,56285
1149,56285
1150,56285
1151,56285
1152,56285
1153,56285
1154,56285
1155,56285
1156,56285
1157,56285
1158,56285
1159,56285
1160,56285
1161,56285
1162,56285
1163,56339
1164,56339
1165,56339
1166,56339
1167,56339
1168,56339
1169,56339
1170,56339
1171,56339
1172,56339
1173,56339
1174,56339
1175,56339
1176,56339
1177,56339
1178,56339
1179,56339
1180,56339
1181,56339
1182,56339
1183,56339
1184,56339
1185,56339
1186,56339
1187,56389
1188,56389
1189,56389
1190,56389
1191,56389
1192,56389
1193,56389
1194,56389
1195,56389
1196,56389
1197,56389
1198,56389
1199,56389
1200,56389
1201,56389
1202,56389
1203,56389
1204,56389
1205,56389
1206,56389
1207,56389
1208,56389
1209,56389
