,clouds_all,temp_f,pressure,humidity,wind_speed,wind_deg,hour,day_of_year,month,sin_day,cos_day,sin_hour,cos_hour,sin_month,cos_month,dl_sec,predictions_in_Watts,date_time
19,98,9.7,1020,96,4.21,345,18,346,12,-0.32126966169236515,0.9469877530760751,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0,31763,205.24376,2019-12-12 18:00:00
20,83,6.28,1020,96,2.24,298,21,346,12,-0.32126966169236515,0.9469877530760751,-0.7071067811865477,0.7071067811865474,-2.4492935982947064e-16,1.0,31763,45.703293,2019-12-12 21:00:00
21,65,5.34,1019,96,3.04,237,0,347,12,-0.3049212246562894,0.9523775757303973,0.0,1.0,-2.4492935982947064e-16,1.0,31723,6.040735,2019-12-13 00:00:00
22,41,3.87,1018,96,3.47,199,3,347,12,-0.3049212246562894,0.9523775757303973,0.7071067811865475,0.7071067811865476,-2.4492935982947064e-16,1.0,31723,118.96259,2019-12-13 03:00:00
23,69,6.71,1015,96,5.48,151,6,347,12,-0.3049212246562894,0.9523775757303973,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,31723,471.4729,2019-12-13 06:00:00
24,63,10.27,1013,96,4.85,140,9,347,12,-0.3049212246562894,0.9523775757303973,0.7071067811865476,-0.7071067811865475,-2.4492935982947064e-16,1.0,31723,1655.5581,2019-12-13 09:00:00
25,71,22.77,1010,95,5.99,167,12,347,12,-0.3049212246562894,0.9523775757303973,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,31723,2166.1829,2019-12-13 12:00:00
26,100,27.12,1007,95,3.78,166,15,347,12,-0.3049212246562894,0.9523775757303973,-0.7071067811865471,-0.7071067811865479,-2.4492935982947064e-16,1.0,31723,625.7989,2019-12-13 15:00:00
27,100,25.16,1006,97,3.83,86,18,347,12,-0.3049212246562894,0.9523775757303973,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0,31723,153.16556,2019-12-13 18:00:00
28,100,25.2,1005,97,7.49,16,21,347,12,-0.3049212246562894,0.9523775757303973,-0.7071067811865477,0.7071067811865474,-2.4492935982947064e-16,1.0,31723,0.0,2019-12-13 21:00:00
29,100,18.34,1005,94,13.94,337,0,348,12,-0.2884824328806098,0.9574851883550389,0.0,1.0,-2.4492935982947064e-16,1.0,31688,6.040735,2019-12-14 00:00:00
30,100,14.92,1006,93,16.8,331,3,348,12,-0.2884824328806098,0.9574851883550389,0.7071067811865475,0.7071067811865476,-2.4492935982947064e-16,1.0,31688,126.64716,2019-12-14 03:00:00
31,100,11.01,1009,89,16.64,322,6,348,12,-0.2884824328806098,0.9574851883550389,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,31688,528.7491,2019-12-14 06:00:00
32,100,5.7,1011,89,16.13,316,9,348,12,-0.2884824328806098,0.9574851883550389,0.7071067811865476,-0.7071067811865475,-2.4492935982947064e-16,1.0,31688,1364.7719,2019-12-14 09:00:00
33,100,6.94,1013,90,15.21,311,12,348,12,-0.2884824328806098,0.9574851883550389,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,31688,1850.7191,2019-12-14 12:00:00
34,100,4.64,1014,90,13.51,309,15,348,12,-0.2884824328806098,0.9574851883550389,-0.7071067811865471,-0.7071067811865479,-2.4492935982947064e-16,1.0,31688,706.34467,2019-12-14 15:00:00
35,93,-2.04,1017,91,10.83,305,18,348,12,-0.2884824328806098,0.9574851883550389,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0,31688,274.13818,2019-12-14 18:00:00
36,29,-7.2,1020,92,9.86,301,21,348,12,-0.2884824328806098,0.9574851883550389,-0.7071067811865477,0.7071067811865474,-2.4492935982947064e-16,1.0,31688,112.65676,2019-12-14 21:00:00
37,14,-11.74,1022,90,8.59,305,0,349,12,-0.27195815753410524,0.9623090774541487,0.0,1.0,-2.4492935982947064e-16,1.0,31656,143.07394,2019-12-15 00:00:00
38,0,-14.37,1024,91,7.43,302,3,349,12,-0.27195815753410524,0.9623090774541487,0.7071067811865475,0.7071067811865476,-2.4492935982947064e-16,1.0,31656,263.18045,2019-12-15 03:00:00
39,0,-16.29,1026,91,6.31,291,6,349,12,-0.27195815753410524,0.9623090774541487,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,31656,948.36743,2019-12-15 06:00:00
