,date_time,clouds_all,temp_f,pressure,humidity,wind_speed,wind_deg,hour,day_of_year,month,sin_day,cos_day,sin_hour,cos_hour,sin_month,cos_month,dl_sec
0,2019-11-18 15:00:00,91,37.81,1004,73,6.31,137,15,322,11,-0.6744436188329457,0.7383263540031063,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384,33961
1,2019-11-18 18:00:00,91,36.01,1004,86,4.52,151,18,322,11,-0.6744436188329457,0.7383263540031063,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384,33961
2,2019-11-18 21:00:00,100,35.33,1003,97,3.87,204,21,322,11,-0.6744436188329457,0.7383263540031063,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384,33961
3,2019-11-19 00:00:00,100,36.36,1002,98,5.99,286,0,323,11,-0.661634618242279,0.749826401204568,0.0,1.0,-0.5000000000000004,0.8660254037844384,33830
4,2019-11-19 03:00:00,100,37.54,1003,97,7.92,313,3,323,11,-0.661634618242279,0.749826401204568,0.7071067811865475,0.7071067811865476,-0.5000000000000004,0.8660254037844384,33830
5,2019-11-19 06:00:00,100,37.69,1005,95,8.61,315,6,323,11,-0.661634618242279,0.749826401204568,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384,33830
6,2019-11-19 09:00:00,100,37.89,1007,92,8.59,317,9,323,11,-0.661634618242279,0.749826401204568,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384,33830
7,2019-11-19 12:00:00,98,42.78,1009,79,8.01,310,12,323,11,-0.661634618242279,0.749826401204568,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,33830
8,2019-11-19 15:00:00,89,44.2,1010,77,6.98,312,15,323,11,-0.661634618242279,0.749826401204568,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384,33830
9,2019-11-19 18:00:00,94,40.86,1012,82,2.82,323,18,323,11,-0.661634618242279,0.749826401204568,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384,33830
10,2019-11-19 21:00:00,100,40.32,1013,79,2.37,274,21,323,11,-0.661634618242279,0.749826401204568,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384,33830
11,2019-11-20 00:00:00,84,36.64,1014,84,2.37,239,0,324,11,-0.6486295610349818,0.7611042586607742,0.0,1.0,-0.5000000000000004,0.8660254037844384,33702
12,2019-11-20 03:00:00,70,35.46,1015,85,3.33,195,3,324,11,-0.6486295610349818,0.7611042586607742,0.7071067811865475,0.7071067811865476,-0.5000000000000004,0.8660254037844384,33702
13,2019-11-20 06:00:00,85,35.51,1015,86,4.14,137,6,324,11,-0.6486295610349818,0.7611042586607742,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384,33702
14,2019-11-20 09:00:00,100,37.81,1015,83,7.4,131,9,324,11,-0.6486295610349818,0.7611042586607742,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384,33702
15,2019-11-20 12:00:00,100,42.82,1013,72,9.64,137,12,324,11,-0.6486295610349818,0.7611042586607742,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,33702
16,2019-11-20 15:00:00,100,44.78,1011,71,6.4,139,15,324,11,-0.6486295610349818,0.7611042586607742,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384,33702
17,2019-11-20 18:00:00,100,40.73,1011,86,5.75,120,18,324,11,-0.6486295610349818,0.7611042586607742,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384,33702
18,2019-11-20 21:00:00,100,41.31,1010,90,6.64,134,21,324,11,-0.6486295610349818,0.7611042586607742,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384,33702
19,2019-11-21 00:00:00,100,40.21,1007,97,3.38,102,0,325,11,-0.6354323008901775,0.7721565844991641,0.0,1.0,-0.5000000000000004,0.8660254037844384,33577
20,2019-11-21 03:00:00,100,39.58,1006,98,5.32,7,3,325,11,-0.6354323008901775,0.7721565844991641,0.7071067811865475,0.7071067811865476,-0.5000000000000004,0.8660254037844384,33577
21,2019-11-21 06:00:00,100,38.12,1005,92,15.93,353,6,325,11,-0.6354323008901775,0.7721565844991641,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384,33577
22,2019-11-21 09:00:00,100,31.73,1008,93,17.31,344,9,325,11,-0.6354323008901775,0.7721565844991641,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384,33577
23,2019-11-21 12:00:00,100,31.28,1010,85,15.52,332,12,325,11,-0.6354323008901775,0.7721565844991641,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,33577
24,2019-11-21 15:00:00,100,29.5,1012,75,14.16,325,15,325,11,-0.6354323008901775,0.7721565844991641,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384,33577
25,2019-11-21 18:00:00,100,26.85,1015,76,11.99,323,18,325,11,-0.6354323008901775,0.7721565844991641,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384,33577
26,2019-11-21 21:00:00,69,23.52,1017,73,11.3,322,21,325,11,-0.6354323008901775,0.7721565844991641,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384,33577
27,2019-11-22 00:00:00,35,22.03,1018,75,9.66,313,0,326,11,-0.622046748440868,0.7829801036770625,0.0,1.0,-0.5000000000000004,0.8660254037844384,33453
