,0
0,54904
1,54904
2,54904
3,54904
4,54904
5,54904
6,54904
7,54904
8,54904
9,55004
10,55004
11,55004
12,55004
13,55004
14,55004
15,55004
16,55004
17,55004
18,55004
19,55004
20,55004
21,55004
22,55004
23,55004
24,55004
25,55004
26,55004
27,55100
28,55100
29,55100
30,55100
31,55100
32,55100
33,55100
34,55100
35,55100
36,55100
37,55100
38,55100
39,55100
40,55100
41,55100
42,55100
43,55100
44,55192
45,55192
46,55192
47,55192
48,55192
49,55192
50,55192
51,55192
52,55192
53,55192
54,55192
55,55192
56,55192
57,55192
58,55192
59,55192
60,55192
61,55192
62,55281
63,55281
64,55281
65,55281
66,55281
67,55281
68,55281
69,55281
70,55281
71,55281
72,55281
73,55281
74,55281
75,55281
76,55281
77,55281
78,55367
79,55367
80,55367
81,55367
82,55367
83,55367
84,55367
85,55367
86,55367
87,55367
88,55367
89,55367
90,55367
91,55367
92,55367
93,55367
94,55367
95,55367
96,55449
97,55449
98,55449
99,55449
100,55449
101,55449
102,55449
103,55449
104,55449
105,55449
106,55449
107,55449
108,55449
109,55449
110,55449
111,55449
112,55449
113,55449
114,55526
115,55526
116,55526
117,55526
118,55526
119,55526
120,55526
121,55526
122,55526
123,55526
124,55526
125,55526
126,55526
127,55526
128,55526
129,55526
130,55526
131,55526
132,55526
133,55526
134,55526
135,55526
136,55526
137,55526
138,55600
139,55600
140,55600
141,55600
142,55600
143,55600
144,55600
145,55600
146,55600
147,55600
148,55600
149,55600
150,55600
151,55600
152,55600
153,55600
154,55600
155,55600
156,55600
157,55600
158,55600
159,55600
160,55600
161,55600
162,55671
163,55671
164,55671
165,55671
166,55671
167,55671
168,55671
169,55671
170,55671
171,55671
172,55671
173,55671
174,55671
175,55671
176,55671
177,55671
178,55671
179,55671
180,55671
181,55671
182,55671
183,55671
184,55671
185,55671
186,55737
187,55737
188,55737
189,55737
190,55737
191,55737
192,55737
193,55737
194,55737
195,55737
196,55737
197,55737
198,55737
199,55737
200,55737
201,55737
202,55737
